id,date_time,rpi_id,room_id,temp,humidity,light,sound,flame,vibration,motion,smoke,co,lpg
2020-04-26 16:47:50.816921_m1_r1,2020-04-26 16:47:50.816921,m1,r1,25.0,39.0,1,1,0,0,0,0.44906001118368866,0.270641198002732,0.13818317492874144
2020-04-26 16:47:57.608172_m1_r1,2020-04-26 16:47:57.608172,m1,r1,25.0,39.0,1,0,0,0,0,1.3693341980748577,1.1455452139386635,0.39242216715413253
2020-04-26 16:48:04.418392_m1_r1,2020-04-26 16:48:04.418392,m1,r1,25.0,39.0,1,7,0,0,0,3.406782733886349,3.726226688413614,0.9211332349149023
