id,date_time,rpi_id,co,flame,humidity,light,lpg,motion,smoke,sound,temperature,vibration
2020-11-22 12:13:50_1,2020-11-22 12:13:50,1,0.003844942196325024,0.0,46.0,1.0,0.006376396208625353,0.0,0.016801257665965942,6.0,26.1,0.0
2020-11-22 12:14:54_1,2020-11-22 12:14:54,1,0.003861867671302351,0.0,46.0,1.0,0.006387674707989274,0.0,0.01685850811621869,5.0,26.1,0.0
2020-11-22 12:15:56_1,2020-11-22 12:15:56,1,0.0038524449101835904,0.0,46.0,1.0,0.006383160427995114,0.0,0.016807601159452523,6.0,26.1,0.0
2020-11-22 12:16:59_1,2020-11-22 12:16:59,1,0.0037240895902966387,0.0,46.0,1.0,0.006230654793390157,0.0,0.016367038082162107,5.0,26.0,0.0
2020-11-22 12:18:01_1,2020-11-22 12:18:01,1,0.0038040244637759183,0.0,46.0,1.0,0.00629181830572368,0.0,0.016563315533690445,8.0,26.1,0.0
